anio,entidad,edad_quinquenal,sexo,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,fecha
2011,BAJA CALIFORNIA,15 a 19 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,20 a 24 años,Femenino,20.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,20 a 24 años,Masculino,27.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,2.0,2011-12-31
2011,BAJA CALIFORNIA,20 a 24 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,25 a 29 años,Femenino,4.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2011-12-31
2011,BAJA CALIFORNIA,25 a 29 años,Masculino,21.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2011-12-31
2011,BAJA CALIFORNIA,25 a 29 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,30 a 34 años,Femenino,7.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2011-12-31
2011,BAJA CALIFORNIA,30 a 34 años,Masculino,38.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2011-12-31
2011,BAJA CALIFORNIA,30 a 34 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,35 a 39 años,Femenino,11.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,35 a 39 años,Masculino,35.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,2011-12-31
2011,BAJA CALIFORNIA,35 a 39 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,40 a 44 años,Femenino,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2011-12-31
2011,BAJA CALIFORNIA,40 a 44 años,Masculino,50.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,2011-12-31
2011,BAJA CALIFORNIA,40 a 44 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,45 a 49 años,Femenino,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2011-12-31
2011,BAJA CALIFORNIA,45 a 49 años,Masculino,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,2011-12-31
2011,BAJA CALIFORNIA,45 a 49 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,5 a 9 años,Femenino,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,5 a 9 años,Masculino,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,5 a 9 años,No especificado,0.0,,,,,,,,,,2011-12-31
2011,BAJA CALIFORNIA,50 a 54 años,Femenino,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-12-31
2011,BAJA CALIFORNIA,50 a 54 años,Masculino,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2011-12-31
