anio,entidad,grupo_etario,sexo,ansiedad,demencia,depresion,total,trastorno_bipolar,trastorno_discapacidad_intelectual,trastorno_estres_postraumatico,trastorno_espectro_autista,deficit_atencion_hiperactividad,trastorno_psicotico,trastorno_conducta_infancia_adolescencia,entidad_etq
2024,CHIHUAHUA,15 A 19 AÑOS,MUJERES,393,0,217,758,27,17,20,8,10,14,52,Chihuahua
2024,CHIHUAHUA,20 A 29 AÑOS,HOMBRES,459,1,86,707,36,30,15,19,0,61,0,Chihuahua
2024,CHIHUAHUA,20 A 29 AÑOS,MUJERES,1551,1,304,2039,105,32,19,4,0,23,0,Chihuahua
2024,CHIHUAHUA,30 A 49 AÑOS,HOMBRES,638,6,102,1004,101,46,11,6,1,93,0,Chihuahua
2024,CHIHUAHUA,30 A 49 AÑOS,MUJERES,2544,4,567,3516,272,23,51,2,0,53,0,Chihuahua
2024,CHIHUAHUA,5 A 9 AÑOS,HOMBRES,117,0,30,1406,0,44,9,155,508,0,543,Chihuahua
2024,CHIHUAHUA,5 A 9 AÑOS,MUJERES,151,0,17,727,0,30,10,50,196,0,273,Chihuahua
2024,CHIHUAHUA,50 A 59 AÑOS,HOMBRES,240,6,54,439,90,11,9,0,0,29,0,Chihuahua
2024,CHIHUAHUA,50 A 59 AÑOS,MUJERES,1069,9,300,1607,162,23,17,0,0,27,0,Chihuahua
2024,CHIHUAHUA,60 AÑOS Y MÁS,HOMBRES,225,72,74,457,47,8,2,0,0,29,0,Chihuahua
2024,CHIHUAHUA,60 AÑOS Y MÁS,MUJERES,721,92,296,1297,151,6,5,0,0,26,0,Chihuahua
2024,CIUDAD DE MÉXICO,10 A 14 AÑOS,HOMBRES,1321,0,625,5434,6,442,43,297,1199,34,1467,Ciudad de México
2024,CIUDAD DE MÉXICO,10 A 14 AÑOS,MUJERES,2108,0,1315,5056,15,271,45,79,323,27,873,Ciudad de México
2024,CIUDAD DE MÉXICO,15 A 19 AÑOS,HOMBRES,398,0,575,1912,6,235,56,138,254,43,207,Ciudad de México
2024,CIUDAD DE MÉXICO,15 A 19 AÑOS,MUJERES,813,1,1333,2727,7,199,57,20,73,31,193,Ciudad de México
2024,CIUDAD DE MÉXICO,20 A 29 AÑOS,HOMBRES,1660,3,790,3149,26,252,163,90,6,159,0,Ciudad de México
2024,CIUDAD DE MÉXICO,20 A 29 AÑOS,MUJERES,3476,2,2177,6173,35,261,136,17,2,67,0,Ciudad de México
